,ROC-AUC,PR-AUC,F1,Precision,Recall,FPR
Deep SVDD,0.6820987654320988,0.7390115309362766,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
Conv Autoencoder,0.4320987654320988,0.4485897842403631,0.46296296296296297,0.46296296296296297,0.46296296296296297,0.5370370370370371
Isolation Forest (Encoder),0.6189986282578875,0.6597808769532014,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.4074074074074074
One-Class SVM (Encoder),0.5397805212620027,0.5336736053655635,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.48148148148148145
