Model,ROC-AUC,PR-AUC,F1,FPR
Deep SVDD,0.6823 ± 0.0352,0.7384 ± 0.0366,0.6278 ± 0.0356,0.3722 ± 0.0356
Isolation Forest (CAE-Enc),0.5680 ± 0.0254,0.6122 ± 0.0193,0.5556 ± 0.0341,0.4444 ± 0.0341
Hybrid - Average,0.6798 ± 0.0410,0.7396 ± 0.0363,0.6056 ± 0.0511,0.3944 ± 0.0511
Hybrid - Weighted,0.6756 ± 0.0633,0.7278 ± 0.0560,0.6222 ± 0.0440,0.3778 ± 0.0440
Hybrid - Max,0.6660 ± 0.0372,0.7296 ± 0.0354,0.5963 ± 0.0387,0.4037 ± 0.0387
