n_neighbors,ROC-AUC,PR-AUC
10,0.4524674276490257,0.1970209009769129
15,0.4883834889888159,0.21709930161447027
20,0.5126926476805411,0.223092653547322
25,0.47436488719781705,0.2075129092370101
30,0.47018524924093935,0.20343207974010719
